,Time,t3-1,t3-2,t3-3,t3-4,t3-5,t3-7,t20-1,t20-2,t20-3,t20-4,t20-5,t20-7,t37-1,t37-2,t37-3,t37-4,t37-5,t37-7
0,0.0,0.09370338443480038,0.10038118807706807,0.09344336471003598,0.08982276579582844,0.0935368489736808,0.0931146305497119,0.13213691706608788,0.12462280329632415,0.10968940158108643,0.10291474507085005,0.10233789134695051,0.09758695023508718,0.13160868901875963,0.12988213668540863,0.12645032958473407,0.10444485396292745,0.1137974504151179,0.10295755661856759
1,0.1,0.11775646364880772,0.12095230807851642,0.10875071212301185,0.10587572735652764,0.10789499709305174,0.10472879818164223,0.1660595148431132,0.14352975401210927,0.13081346095184873,0.1191687078428583,0.11691537276758909,0.11386452491931584,0.18055364587120937,0.16219094057127442,0.15003644246288012,0.12416666856026135,0.13429855601838073,0.11976854603515627
2,0.2,0.1403212372277475,0.13993383925366976,0.12285838004657887,0.12051566163245156,0.1210296873642907,0.11531355467107166,0.19712135347829993,0.16122015430426578,0.15004958131597418,0.13392177551402534,0.13033562724434056,0.12865073890590634,0.225159361855698,0.19128543743198673,0.17153781578735566,0.142272476090976,0.15281689987920952,0.1350179637222838
3,0.3,0.16146871942038044,0.1574183602638165,0.1358375615723421,0.1338339383338905,0.13301632284640325,0.1249361302822336,0.2255017335019725,0.17775117806301272,0.16751572540681034,0.14727515175708591,0.14266415262375345,0.1420432174989989,0.2656932565779726,0.21738154994361641,0.19108130904333276,0.15886159557981577,0.16948578365890044,0.14880799997703076
4,0.4,0.18126756278536227,0.17349492504356184,0.1477567155103119,0.14591824571363193,0.14392742934377525,0.13366100141416132,0.25137288972911764,0.19317816661044274,0.18332536349723683,0.1593258764013718,0.1539641526636623,0.1541356358660811,0.3024121632898651,0.24068631014225042,0.20878898630884835,0.17402945166156314,0.18443308855385204,0.16123674686362172
5,0.5,0.19978409976890532,0.18824912811949107,0.1586816173054546,0.15685266015978405,0.1538327071233491,0.14154994410808025,0.27490012284960447,0.2075546591691807,0.19758755329906566,0.17016690478753257,0.16429657527861755,0.1650177941587844,0.33556253131344616,0.2613980310234882,0.2247782022983762,0.18786764716824284,0.1977813772953411,0.1723982745786663
6,0.6,0.2170823842824398,0.20176316992883359,0.16867540995424374,0.16671771578860012,0.16279908263179993,0.14866208755480054,0.2962419310184048,0.2209324233310424,0.21040701986244165,0.17988718712225613,0.17372015078531522,0.17477569263368095,0.3653806284651792,0.2797064781419383,0.23916168840639898,0.2004640357163264,0.20964799614929847,0.18238270781639976
7,0.7,0.23322423328027553,0.21411592213812647,0.17779865492121086,0.175590474037302,0.17089076021271205,0.15505396760210932,0.3155501414458133,0.2333614855256933,0.2218842354752426,0.18857174783298908,0.18229143014802707,0.18349160677307993,0.3920927434800743,0.2957930412107147,0.25204763875098035,0.21190279429393627,0.22014517691608484,0.191276302133924
8,0.8,0.24826926833726326,0.2253829929618782,0.18610938305549637,0.18354459325690442,0.1781692738237548,0.1607795802621632,0.33297004198766766,0.2448901614893071,0.23211549956247973,0.19630176492265755,0.19006482322403023,0.1912441624058244,0.41591538843584186,0.30983090570093397,0.2635397962173367,0.22226449584805014,0.22938013893026668,0.19916152031644818
9,0.9,0.2622749572264563,0.2356367924812322,0.19366314550740057,0.19065039830503872,0.18469353875385935,0.16589043521888058,0.34864051273556906,0.2555650867332246,0.24119301858569814,0.20315464932438743,0.19709263700903723,0.1981084108280877,0.43705550117704706,0.32198522444121086,0.27373753850140964,0.2316261818717052,0.23745519106039184,0.20611710874252964
