,Time,t3-1,t3-2,t3-3,t3-4,t3-5,t20-1,t20-2,t20-3,t20-4,t20-5,t37-1,t37-2,t37-3,t37-4,t37-5
33,3.3,0.3847164,0.315176,0.2532758,0.2282719,0.2529219,0.437095,0.2931699,0.2845252,0.2482843,0.2502479,0.3737202,0.3647205,0.3501246,0.2878338,0.26246
34,3.4,0.4149339,0.3088259,0.246415,0.2220214,0.2492435,0.444534,0.3021358,0.2930187,0.2449713,0.2577239,0.3656977,0.3875558,0.3578626,0.2702284,0.2596946
35,3.5,0.4252268,0.3135768,0.2399097,0.2315541,0.229715,0.4475677,0.3237932,0.2906664,0.2486704,0.2504547,0.3805504,0.3833593,0.3637544,0.2779781,0.2497096
36,3.6,0.4183062,0.3164363,0.2464604,0.2335915,0.2319019,0.449958,0.3131287,0.2779619,0.2537937,0.2545964,0.3734407,0.3970509,0.3510865,0.2997425,0.2478448
37,3.7,0.4232392,0.3156593,0.2568748,0.2307541,0.2281781,0.4598976,0.3211228,0.2892343,0.2602683,0.2559083,0.4029788,0.386976,0.3215889,0.2854399,0.257491
38,3.8,0.4301257,0.3297792,0.2631048,0.2403819,0.2224508,0.4179302,0.3176079,0.30273,0.2589128,0.2599788,0.4096797,0.3743455,0.3286589,0.2911057,0.2512985
39,3.9,0.4002555,0.3326759,0.271864,0.2417762,0.2283748,0.4317332,0.3271082,0.2992092,0.2485983,0.2598787,0.3969136,0.3890736,0.3240488,0.2876772,0.2435321
40,4.0,0.4188419,0.3217758,0.2682007,0.2429132,0.2256193,0.4529433,0.3347279,0.3011379,0.253659,0.2616254,0.3820431,0.3749503,0.3328821,0.3122143,0.253144
41,4.1,0.4186163,0.3315918,0.2555979,0.2397704,0.2297148,0.4237202,0.3202451,0.2974766,0.2521216,0.2616894,0.4014274,0.3615505,0.3300155,0.292201,0.2674262
42,4.2,0.3984255,0.3390757,0.2747011,0.2538422,0.2434959,0.4463381,0.3253394,0.2981068,0.2587471,0.2559712,0.3931574,0.3738001,0.3249471,0.3025488,0.2582779
43,4.3,0.376525,0.3435507,0.2626033,0.2486141,0.2414741,0.4542207,0.3203879,0.3080235,0.2510132,0.2747768,0.3905017,0.3746513,0.3318827,0.3058643,0.2677836
44,4.4,0.3860929,0.3283779,0.2574813,0.2541325,0.2361797,0.4644581,0.3066151,0.2966417,0.2616503,0.2623772,0.3855887,0.3732878,0.3420082,0.2986352,0.2686298
45,4.5,0.4185237,0.3401516,0.2629965,0.2533476,0.2449408,0.466614,0.3075971,0.300869,0.2628004,0.2678414,0.3919337,0.363988,0.3358839,0.292558,0.2811432
46,4.6,0.4125925,0.3391734,0.2699496,0.2484918,0.2396718,0.4551954,0.3140205,0.2991435,0.2740684,0.2695652,0.3968445,0.3672695,0.3250202,0.2852761,0.2799771
47,4.7,0.4259203,0.3429584,0.2712221,0.2559452,0.2392417,0.4677419,0.3184498,0.3035278,0.2704439,0.2650464,0.3779235,0.3709222,0.3091033,0.2894735,0.2620031
48,4.8,0.4243842,0.3307948,0.262343,0.2449629,0.2502755,0.4608029,0.3099881,0.2917927,0.2738864,0.2465748,0.412986,0.3858885,0.3290174,0.276962,0.2675454
49,4.9,0.4204497,0.335904,0.2713996,0.2562107,0.2319759,0.4752233,0.3235433,0.2962083,0.2708874,0.2501594,0.4003255,0.4180214,0.3306024,0.2714371,0.283711
50,5.0,0.4353112,0.3249938,0.2822725,0.2573731,0.2284292,0.4649365,0.3115931,0.3043443,0.2693165,0.2662723,0.402205,0.416321,0.3153293,0.3023101,0.274833
51,5.1,0.4286623,0.3117003,0.2845801,0.2561266,0.2388054,0.4743176,0.3066312,0.2809707,0.2609181,0.259451,0.3990408,0.4221285,0.3169189,0.3077651,0.276644
52,5.2,0.4075579,0.3156397,0.2793198,0.2506692,0.247506,0.4545556,0.3114378,0.2861162,0.2666819,0.2646009,0.4021894,0.4284886,0.3193959,0.303927,0.2703618
53,5.3,0.40627219999999997,0.3147175,0.2874482,0.269374,0.2405464,0.4576932,0.3240142,0.2961684,0.2521932,0.2695383,0.4113989,0.4276147,0.3299869,0.2966094,0.2715683
54,5.4,0.3981992,0.3295738,0.2889352,0.2711617,0.2446337,0.4647946,0.3074858,0.3001944,0.2739366,0.2517278,0.4187016,0.4228856,0.329012,0.2903835,0.2703306
55,5.5,0.4041735,0.3185586,0.2863429,0.2537938,0.2377798,0.4556968,0.3015828,0.2899049,0.2725118,0.2504448,0.403066,0.4401036,0.3454159,0.2757795,0.2778266
56,5.6,0.3924634,0.3057833,0.279529,0.2498597,0.2371292,0.4669017,0.3055997,0.3087312,0.2775125,0.2684337,0.3947406,0.4500706,0.3288748,0.2647462,0.2747509
57,5.7,0.4024656,0.3057449,0.2895265,0.2639084,0.2414889,0.4946143,0.3244823,0.3047665,0.2891851,0.2651265,0.3988709,0.4342104,0.3406636,0.2804319,0.2869512
58,5.8,0.3867175,0.2981086,0.2753566,0.2728529,0.2298619,0.4879523,0.3194212,0.3059878,0.2918439,0.2704537,0.3979164,0.4213284,0.3330245,0.2759677,0.2843783
