,t3-1,t3-2,t3-3,t3-4,t3-5,t20-1,t20-2,t20-3,t20-4,t20-5,t37-1,t37-2,t37-3,t37-4,t37-5
0,0.09370338443480038,0.11415779521594842,0.08334091291503538,0.08877191722617747,0.09819201243088359,0.14048145735314937,0.09409350600121036,0.10795705646372146,0.09737587389573488,0.10530342056617596,0.1694898099329792,0.11761164930226871,0.13643195462815022,0.09732872910901838,0.10203891120232204
1,0.11775646364880772,0.12879948741565098,0.10178679102721723,0.10720629075543632,0.11156153241883093,0.1724317029361505,0.12140038047879789,0.13153392896906244,0.11497153000064722,0.1220762634923894,0.19611821818254976,0.1492107940364359,0.15864586704061304,0.11702755118812112,0.1251462842270586
2,0.1403212372277475,0.1425642583755078,0.11858687513406166,0.12379628534013558,0.12389066386392789,0.20174708965799487,0.14635480980944138,0.1529076632454579,0.13100922508048962,0.13737047810581957,0.22022090545877895,0.17791050088673893,0.17910403141987663,0.1351010002018672,0.14576581260092145
3,0.16146871942038044,0.15549502492713047,0.1338516778912215,0.13867200495659776,0.13523708355894348,0.22858408564904045,0.16909584837475514,0.17221893368499241,0.14558692058013273,0.15127908036375998,0.24196477867165814,0.20390020294035205,0.19789853206084157,0.15164632221244603,0.16407755227913762
4,0.18126756278536227,0.16763316798622124,0.14768700795179812,0.15195797254591725,0.14565650452191037,0.2530933345999046,0.18975742652385924,0.18960292591086558,0.15879882310783305,0.16389143911389153,0.2615099361136174,0.22736158774818443,0.21511854825853954,0.16675703953361315,0.18025377537851883
5,0.19978409976890532,0.17901856161395613,0.16019406477163123,0.16377324094583473,0.15520270745229073,0.2754197591495352,0.20846844074312565,0.20518943727264438,0.170735451511349,0.17529334395142265,0.2790097981991401,0.2484687468034672,0.23085039680730926,0.18052301960458522,0.19445912496468853
6,0.2170823842824398,0.1896896020783685,0.17146953341458832,0.17423150382261166,0.16392757218714255,0.2957026642732822,0.22535284382592422,0.21910297734151518,0.18148370395405705,0.18556707307622952,0.29461123820437807,0.26738832502034066,0.2451775744999724,0.1930305438639352,0.206850769839309
7,0.23322423328027553,0.1996832369157323,0.18160567935785452,0.1834412066029045,0.1718811091572856,0.3140758406709684,0.24052973504236905,0.2314628684055356,0.19112692499106793,0.1947914611499962,0.30845471300676564,0.2842796702124412,0.25818080062700954,0.20436237662348766,0.21757855932730819
8,0.24826926833726326,0.20903499399194575,0.190690443297222,0.1915056574056393,0.17911149084346745,0.3306676681549608,0.25411345030906457,0.24238334596488675,0.19974497264534258,0.20304196715335499,0.32067439382463514,0.29929498257148845,0.2699380594757361,0.2145978339422138,0.22678517806410695
9,0.2622749572264563,0.21777901056391433,0.1988075359523799,0.19852313797388602,0.18566508323252967,0.34560121903824204,0.26621365235885164,0.25197365922712517,0.20741428548380847,0.21039074224302642,0.3313982969568309,0.3125794641458722,0.2805246428294781,0.22381285250012659,0.2346063007828459
